"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-055","DAL","@","PHO","L (-21)","0","3:59","1","3",".333","1","3",".333","0","0","","0","0","0","0","0","0","0","0","3","1.3","-8",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34.2","93","139"
"2","2","2018-10-20","28-058","DAL","","MIN","W (+4)","0","4:17","1","3",".333","1","3",".333","0","0","","0","1","1","0","0","0","0","1","3","1.2","-4",".500",".500","0.0","34.0","14.9","0.0","0.0","0.0","0.0","26.1","113","128"
"3","3","2018-10-22","28-060","DAL","","CHI","W (+6)","0","2:33","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-6",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.1","0","118"
"4","4","2018-10-24","28-062","DAL","@","ATL","L (-7)","0","4:04","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+10",".000",".000","0.0","22.3","11.1","0.0","0.0","0.0","0.0","9.9","0","107"
"6","5","2018-10-28","28-066","DAL","","UTA","L (-9)","0","0:21","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","120"
"10","6","2018-11-06","28-075","DAL","","WAS","W (+19)","0","1:16","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","109"
"14","7","2018-11-14","28-083","DAL","","UTA","W (+50)","0","7:31","2","2","1.000","1","1","1.000","0","0","","0","2","2","0","0","0","0","1","5","4.6","+17","1.250","1.250","0.0","24.6","15.2","0.0","0.0","0.0","0.0","12.0","250","73"
"16","8","2018-11-19","28-088","DAL","@","MEM","L (-10)","0","0:35","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","111"
"17","9","2018-11-21","28-090","DAL","","BRK","W (+6)","0","9:00","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+4",".000",".000","0.0","10.1","6.1","0.0","0.0","0.0","0.0","4.9","0","121"
"19","10","2018-11-28","28-097","DAL","@","HOU","W (+20)","0","3:46","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","126"
"20","11","2018-11-30","28-099","DAL","@","LAL","L (-11)","0","3:25","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+3",".000",".000","0.0","30.5","15.1","0.0","0.0","0.0","0.0","12.0","0","110"
"23","12","2018-12-05","28-104","DAL","@","NOP","L (-26)","0","16:13","3","7",".429","2","5",".400","1","1","1.000","1","3","4","1","0","1","1","0","9","7.3","-1",".605",".571","5.7","22.8","13.0","9.8","0.0","4.7","11.8","21.1","111","125"
"25","13","2018-12-10","28-109","DAL","","ORL","W (+25)","0","9:22","0","1",".000","0","1",".000","0","0","","0","0","0","2","1","0","1","0","0","0.7","+1",".000",".000","0.0","0.0","0.0","29.3","5.4","0.0","50.0","9.8","47","77"
"28","14","2018-12-16","28-115","DAL","","SAC","L (-7)","0","6:35","1","2",".500","0","1",".000","0","0","","1","2","3","0","0","0","0","2","2","1.5","+9",".500",".500","14.0","30.4","21.9","0.0","0.0","0.0","0.0","11.8","124","116"
"29","15","2018-12-18","28-117","DAL","@","DEN","L (-8)","0","1:04","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","134"
"36","16","2018-12-31","28-130","DAL","@","OKC","L (-20)","0","6:09","2","5",".400","1","4",".250","1","1","1.000","0","1","1","0","0","0","0","0","6","3.6","-3",".551",".500","0.0","14.2","8.2","0.0","0.0","0.0","0.0","36.9","104","113"
"39","17","2019-01-05","28-135","DAL","@","PHI","L (-6)","0","21:42","6","8",".750","3","5",".600","0","0","","0","1","1","3","0","1","3","0","15","11.9","+12",".938",".938","0.0","4.6","2.3","26.8","0.0","3.9","27.3","21.5","117","108"
"45","18","2019-01-19","28-149","DAL","@","IND","L (-12)","0","9:27","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","+8",".000",".000","0.0","0.0","0.0","13.7","0.0","0.0","0.0","9.3","31","126"
"49","19","2019-01-27","28-157","DAL","","TOR","L (-3)","0","0:16","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","0","0","3","3.4","+3","1.500","1.500","0.0","0.0","0.0","-131.4","0.0","0.0","0.0","100.0","261","131"
"50","20","2019-01-30","28-160","DAL","@","NYK","W (+24)","0","4:35","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","1.0","+1","","","0.0","22.3","12.6","23.3","0.0","0.0","","0.0","233","95"
"51","21","2019-01-31","28-161","DAL","@","DET","L (-4)","0","26:38","3","5",".600","1","2",".500","0","0","","0","3","3","1","0","0","0","3","7","5.1","+12",".700",".700","0.0","11.3","5.6","5.9","0.0","0.0","0.0","8.7","144","108"
"52","22","2019-02-02","28-163","DAL","@","CLE","W (+13)","0","29:04","4","9",".444","4","8",".500","0","0","","0","0","0","1","0","0","0","3","12","6.8","+6",".667",".667","0.0","0.0","0.0","4.9","0.0","0.0","0.0","14.1","137","112"
"54","23","2019-02-08","28-169","DAL","","MIL","L (-15)","0","18:37","2","6",".333","2","5",".400","0","0","","0","5","5","2","0","0","0","2","6","4.7","+1",".500",".500","0.0","33.9","14.6","16.7","0.0","0.0","0.0","14.1","114","124"
"55","24","2019-02-10","28-171","DAL","","POR","W (+1)","0","8:47","0","2",".000","0","1",".000","0","0","","1","0","1","0","1","1","0","0","0","1.0","-10",".000",".000","11.6","0.0","6.3","0.0","5.6","9.6","0.0","9.7","36","94"
"56","25","2019-02-11","28-172","DAL","@","HOU","L (-16)","0","1:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","134"
"57","26","2019-02-13","28-174","DAL","","MIA","L (-11)","0","8:11","2","3",".667","2","3",".667","0","0","","0","2","2","1","0","0","0","2","6","5.2","+2","1.000","1.000","0.0","33.5","13.8","26.3","0.0","0.0","0.0","16.0","182","117"
"58","27","2019-02-22","28-183","DAL","","DEN","L (-10)","0","6:11","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-4",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","0","122"
"59","28","2019-02-23","28-184","DAL","@","UTA","L (-16)","0","6:19","1","1","1.000","1","1","1.000","0","0","","0","1","1","1","0","0","0","0","3","3.7","-3","1.500","1.500","0.0","18.1","8.0","22.8","0.0","0.0","0.0","7.0","280","131"
"62","29","2019-03-02","28-191","DAL","","MEM","L (-30)","0","12:31","1","5",".200","0","2",".000","0","0","","0","3","3","0","0","0","0","1","2","-0.6","-5",".200",".200","0.0","33.8","12.4","0.0","0.0","0.0","0.0","17.5","44","120"
"63","30","2019-03-04","28-193","DAL","@","BRK","L (-39)","0","18:34","0","3",".000","0","2",".000","0","0","","0","0","0","0","1","0","2","2","0","-3.9","-12",".000",".000","0.0","0.0","0.0","0.0","2.5","0.0","40.0","11.8","0","122"
"70","31","2019-03-18","28-207","DAL","","NOP","L (-4)","0","0:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","122"
"71","32","2019-03-20","28-209","DAL","@","POR","L (-8)","0","5:11","1","2",".500","1","2",".500","0","0","","1","2","3","0","0","0","0","2","3","2.5","+8",".750",".750","22.0","45.2","33.5","0.0","0.0","0.0","0.0","17.0","157","121"
"72","33","2019-03-21","28-210","DAL","@","SAC","L (-16)","0","16:49","4","6",".667","4","6",".667","1","2",".500","0","2","2","1","0","0","1","1","13","9.9","0",".945","1.000","0.0","12.4","5.7","11.6","0.0","0.0","12.7","20.6","140","123"
"73","34","2019-03-23","28-212","DAL","@","GSW","W (+35)","0","24:32","6","8",".750","2","4",".500","3","3","1.000","1","4","5","2","1","0","1","2","17","16.3","+19",".912",".875","5.4","16.0","11.5","12.1","2.1","0.0","9.7","19.9","165","95"
"74","35","2019-03-26","28-215","DAL","","SAC","L (-4)","0","29:12","3","5",".600","3","5",".600","2","2","1.000","0","1","1","0","0","0","0","4","11","7.4","+15",".935",".900","0.0","3.8","2.2","0.0","0.0","0.0","0.0","9.5","179","139"
"75","36","2019-03-28","28-217","DAL","@","MIA","L (-6)","0","14:39","3","6",".500","3","6",".500","0","0","","0","1","1","0","0","1","2","1","9","4.6","-2",".750",".750","0.0","6.6","3.1","0.0","0.0","5.6","25.0","23.3","87","106"
"76","37","2019-03-31","28-220","DAL","@","OKC","W (+3)","0","24:04","1","2",".500","1","2",".500","2","2","1.000","0","5","5","1","0","0","0","2","5","5.4","-7",".868",".750","0.0","17.5","9.9","5.7","0.0","0.0","0.0","5.2","189","106"
"77","38","2019-04-01","28-221","DAL","","PHI","W (+20)","0","16:22","3","7",".429","0","1",".000","1","2",".500","0","5","5","0","0","0","0","0","7","4.4","-1",".444",".429","0.0","26.2","13.5","0.0","0.0","0.0","0.0","20.1","89","97"
"79","39","2019-04-05","28-225","DAL","","MEM","L (-10)","0","24:20","3","6",".500","1","3",".333","2","4",".500","2","4","6","1","0","0","1","2","9","6.7","-17",".580",".583","8.1","18.3","12.9","5.6","0.0","0.0","11.4","15.1","114","126"
"80","40","2019-04-07","28-227","DAL","@","MEM","W (+2)","0","16:30","2","5",".400","2","4",".500","2","2","1.000","1","2","3","2","0","0","0","0","8","8.0","+12",".680",".600","5.9","12.8","9.3","16.7","0.0","0.0","0.0","15.9","151","126"
"81","41","2019-04-09","28-229","DAL","","PHO","W (+11)","0","14:47","0","3",".000","0","2",".000","0","0","","0","1","1","0","1","0","4","0","0","-4.8","+4",".000",".000","0.0","6.4","3.2","0.0","3.1","0.0","57.1","18.3","0","102"
"82","42","2019-04-10","28-230","DAL","@","SAS","L (-11)","0","13:42","1","3",".333","1","3",".333","0","0","","0","0","0","0","1","0","0","3","3","1.1","-2",".500",".500","0.0","0.0","0.0","0.0","3.7","0.0","0.0","10.2","92","109"
