"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2019-01-08","28-094","PHO","","SAC","W (+4)","0","8:25","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","4","0","-2.3","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.9","0","119"
"2","2","2019-01-09","28-095","PHO","@","DAL","L (-10)","0","9:02","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","-3","","","0.0","14.0","6.7","0.0","0.0","0.0","","0.0","0","113"
"3","3","2019-01-12","28-098","PHO","","DEN","W (+9)","0","8:20","0","1",".000","0","1",".000","1","2",".500","0","0","0","0","0","0","1","1","1","-1.5","+14",".266",".000","0.0","0.0","0.0","0.0","0.0","0.0","34.7","14.8","37","110"
"4","4","2019-01-15","28-101","PHO","@","IND","L (-34)","0","8:55","0","2",".000","0","2",".000","0","0","","0","0","0","0","1","0","0","3","0","-1.6","+8",".000",".000","0.0","0.0","0.0","0.0","4.9","0.0","0.0","8.8","0","117"
"5","5","2019-01-17","28-103","PHO","@","TOR","L (-2)","0","5:23","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","1","0","0","0","0.0","+3",".000",".000","0.0","0.0","0.0","0.0","0.0","15.4","0.0","7.7","0","111"
"6","6","2019-01-19","28-105","PHO","@","CHO","L (-20)","0","9:26","0","1",".000","0","1",".000","2","2","1.000","2","3","5","1","0","0","0","2","2","3.5","+4",".532",".000","22.1","46.3","32.2","13.0","0.0","0.0","0.0","8.8","161","133"
"7","7","2019-01-20","28-106","PHO","@","MIN","L (-2)","0","18:32","2","4",".500","2","4",".500","2","2","1.000","0","1","1","4","0","3","0","4","8","9.6","-2",".820",".750","0.0","6.3","3.1","29.8","0.0","11.6","0.0","11.0","183","111"
"8","8","2019-01-22","28-108","PHO","","MIN","L (-27)","0","18:00","1","4",".250","0","3",".000","0","0","","0","4","4","1","0","0","2","3","2","-1.7","-6",".250",".250","0.0","21.8","10.9","7.8","0.0","0.0","33.3","14.8","39","117"
"9","9","2019-01-24","28-110","PHO","","POR","L (-14)","0","20:26","1","4",".250","0","2",".000","2","4",".500","1","3","4","1","0","0","0","4","4","1.5","-7",".347",".250","4.9","16.0","10.2","7.0","0.0","0.0","0.0","11.7","91","122"
"10","10","2019-01-25","28-111","PHO","@","DEN","L (-37)","0","16:26","0","0","","0","0","","0","0","","0","10","10","1","0","0","1","2","0","1.9","-4","","","0.0","59.6","31.7","9.1","0.0","0.0","100.0","2.9","41","118"
