"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","34-112","OKC","@","GSW","L (-8)","0","13:55","1","5",".200","0","3",".000","4","5",".800","0","3","3","1","0","0","2","0","6","2.1","-1"
"2","2","2018-10-19","34-115","OKC","@","LAC","L (-16)","0","17:59","5","12",".417","0","3",".000","2","2","1.000","1","3","4","3","0","1","1","2","12","8.2","+2"
"9","3","2018-11-05","34-132","OKC","","NOP","W (+6)","0","2:58","1","3",".333","0","1",".000","0","0","","0","0","0","0","1","0","0","1","2","0.9","-2"
"10","4","2018-11-07","34-134","OKC","@","CLE","W (+9)","0","13:59","2","6",".333","0","2",".000","0","0","","0","1","1","2","3","1","1","1","4","4.6","-11"
"11","5","2018-11-08","34-135","OKC","","HOU","W (+18)","0","13:18","5","9",".556","0","3",".000","0","0","","0","0","0","1","0","0","0","0","10","6.4","-1"
"12","6","2018-11-10","34-137","OKC","@","DAL","L (-15)","0","16:01","3","12",".250","1","6",".167","0","0","","1","1","2","3","0","0","0","2","7","2.1","-14"
"13","7","2018-11-12","34-139","OKC","","PHO","W (+17)","0","10:50","1","4",".250","0","1",".000","0","0","","0","1","1","3","1","0","1","0","2","2.0","0"
"14","8","2018-11-14","34-141","OKC","","NYK","W (+25)","0","16:50","2","5",".400","2","4",".500","2","2","1.000","0","1","1","3","0","1","2","3","8","5.2","-9"
"15","9","2018-11-17","34-144","OKC","@","PHO","W (+10)","0","13:30","1","5",".200","0","2",".000","0","0","","0","1","1","3","0","0","2","1","2","-1.1","+1"
"16","10","2018-11-19","34-146","OKC","@","SAC","L (-4)","0","5:44","1","1","1.000","1","1","1.000","0","0","","0","2","2","1","0","0","0","0","3","4.0","-3"
"18","11","2018-11-23","34-150","OKC","","CHO","W (+5)","0","5:19","0","2",".000","0","0","","0","0","","1","1","2","1","0","0","1","0","0","-0.7","-4"
"20","12","2018-11-28","34-155","OKC","","CLE","W (+17)","0","5:50","1","2",".500","0","0","","0","0","","0","0","0","2","0","0","0","0","2","2.4","+9"
"22","13","2018-12-03","34-160","OKC","@","DET","W (+27)","0","6:51","2","5",".400","1","2",".500","0","0","","0","3","3","0","1","1","0","0","5","4.9","-2"
"34","14","2018-12-28","34-185","OKC","@","PHO","W (+16)","0","11:56","2","3",".667","0","0","","0","0","","0","1","1","2","0","0","1","1","4","3.0","-2"
"35","15","2018-12-30","34-187","OKC","@","DAL","L (-2)","0","11:22","1","2",".500","1","2",".500","0","0","","0","0","0","2","0","0","0","2","3","2.6","+11"
"56","16","2019-02-11","34-230","OKC","","POR","W (+9)","0","21:03","6","10",".600","3","5",".600","0","0","","0","1","1","1","2","0","0","2","15","12.6","+13"
"57","17","2019-02-14","34-233","OKC","@","NOP","L (-9)","0","23:01","3","4",".750","1","2",".500","2","2","1.000","0","1","1","5","0","0","0","1","9","10.8","+13"
"59","18","2019-02-23","34-242","OKC","","SAC","L (-3)","0","5:34","0","1",".000","0","0","","0","0","","0","0","0","2","0","0","0","0","0","0.7","+8"
"60","19","2019-02-26","34-245","OKC","@","DEN","L (-9)","0","8:00","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","2","0","-2.2","+4"
"61","20","2019-02-28","34-247","OKC","","PHI","L (-4)","0","11:32","0","2",".000","0","1",".000","0","0","","0","0","0","2","0","0","1","2","0","-1.8","+6"
"62","21","2019-03-02","34-249","OKC","@","SAS","L (-14)","0","21:44","6","9",".667","1","3",".333","0","0","","0","0","0","1","0","0","0","0","13","9.8","+7"
"63","22","2019-03-03","34-250","OKC","","MEM","W (+4)","0","13:30","1","2",".500","0","0","","2","2","1.000","0","1","1","0","0","0","0","2","4","2.5","+1"
"64","23","2019-03-05","34-252","OKC","@","MIN","L (-11)","0","9:38","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","1","0","0","3","4.1","-3"
"65","24","2019-03-07","34-254","OKC","@","POR","W (+8)","0","2:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"68","25","2019-03-13","34-260","OKC","","BRK","W (+12)","0","4:22","0","1",".000","0","0","","0","0","","0","0","0","0","0","1","0","0","0","0.0","-8"
"71","26","2019-03-18","34-265","OKC","","MIA","L (-9)","0","11:40","0","3",".000","0","1",".000","0","0","","1","1","2","2","0","0","1","1","0","-1.1","-11"
"76","27","2019-03-29","34-276","OKC","","DEN","L (-10)","0","0:25","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"77","28","2019-03-31","34-278","OKC","","DAL","L (-3)","0","11:28","1","3",".333","0","1",".000","0","0","","0","1","1","0","0","0","0","1","2","0.2","+5"
"78","29","2019-04-02","34-280","OKC","","LAL","W (+16)","0","12:47","1","4",".250","0","3",".000","0","0","","0","0","0","1","1","0","0","1","2","0.9","-6"
"79","30","2019-04-05","34-283","OKC","","DET","W (+13)","0","11:30","2","4",".500","2","2","1.000","0","0","","0","1","1","0","1","0","0","1","6","4.9","+8"
"80","31","2019-04-07","34-285","OKC","@","MIN","W (+6)","0","10:03","1","2",".500","1","1","1.000","0","0","","0","2","2","1","0","0","0","1","3","2.9","+7"
"81","32","2019-04-09","34-287","OKC","","HOU","W (+1)","0","10:03","1","3",".333","1","1","1.000","0","0","","0","0","0","2","0","0","0","1","3","2.3","0"
"82","33","2019-04-10","34-288","OKC","@","MIL","W (+11)","0","24:12","4","8",".500","4","8",".500","0","0","","0","4","4","7","0","0","1","1","12","12.7","-1"
