"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"31","1","2018-12-17","21-049","CHI","@","OKC","L (-25)","0","2:53","0","1",".000","0","0","","0","0","","1","0","1","2","1","0","0","0","0","2.4","+4"
"34","2","2018-12-23","21-055","CHI","@","CLE","W (+20)","0","1:35","1","3",".333","1","1","1.000","0","0","","2","0","2","0","0","0","0","0","3","2.7","+1"
"58","3","2019-02-13","21-107","CHI","","MEM","W (+12)","0","1:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-4"
"76","4","2019-03-27","21-149","CHI","","POR","L (-20)","0","16:09","0","2",".000","0","1",".000","2","2","1.000","1","2","3","1","0","0","3","1","2","-0.8","-13"
"77","5","2019-03-30","21-152","CHI","","TOR","L (-23)","0","18:12","3","9",".333","0","2",".000","1","1","1.000","5","3","8","3","0","0","0","0","7","8.4","-1"
"78","6","2019-04-01","21-154","CHI","@","NYK","L (-8)","0","1:30","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+3"
"79","7","2019-04-03","21-156","CHI","@","WAS","W (+1)","0","26:02","4","9",".444","1","4",".250","2","4",".500","0","5","5","3","0","0","2","2","11","6.3","+3"
"80","8","2019-04-06","21-159","CHI","","PHI","L (-20)","1","20:13","2","7",".286","1","2",".500","2","2","1.000","1","3","4","2","0","0","2","2","7","3.1","-20"
"81","9","2019-04-09","21-162","CHI","","NYK","L (-10)","0","12:54","1","3",".333","0","0","","0","0","","1","2","3","1","0","0","0","1","2","1.9","+4"
"82","10","2019-04-10","21-163","CHI","@","PHI","L (-16)","0","19:13","2","4",".500","0","1",".000","1","3",".333","0","0","0","1","0","0","1","0","5","1.9","+10"
