"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"8","1","2018-11-02","22-064","ORL","","LAC","L (-25)","0","5:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-1"
"13","2","2018-11-11","22-073","ORL","@","NYK","W (+26)","0","5:14","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1.7","-7"
"27","3","2018-12-10","22-102","ORL","@","DAL","L (-25)","0","5:20","0","2",".000","0","0","","0","0","","0","1","1","0","1","0","0","2","0","-0.9","+3"
"56","4","2019-02-09","22-163","ORL","@","MIL","W (+20)","0","3:06","3","3","1.000","0","0","","0","0","","1","0","1","0","0","0","0","0","6","5.8","+1"
"57","5","2019-02-10","22-164","ORL","@","ATL","W (+16)","0","3:27","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","1","0","0.3","-7"
"58","6","2019-02-12","22-166","ORL","@","NOP","W (+30)","0","4:01","1","5",".200","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","-1.1","+1"
"59","7","2019-02-14","22-168","ORL","","CHO","W (+38)","0","5:21","2","3",".667","0","1",".000","0","0","","0","0","0","0","0","0","0","0","4","2.7","+7"
"70","8","2019-03-14","22-196","ORL","","CLE","W (+29)","0","2:53","0","1",".000","0","0","","1","2",".500","1","0","1","1","0","0","0","0","1","1.3","0"
"72","9","2019-03-20","22-202","ORL","","NOP","W (+23)","0","4:48","0","3",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","2","0","-2.6","-10"
"80","10","2019-04-05","22-218","ORL","","ATL","W (+36)","0","4:45","1","3",".333","0","2",".000","0","2",".000","0","0","0","0","0","0","0","0","2","-0.5","+4"
