"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","28-042","WAS","","MIA","L (-1)","1","35:49","9","16",".563","1","6",".167","7","10",".700","1","2","3","9","1","4","3","4","26","24.0","+6"
"2","2","2018-10-20","28-044","WAS","","TOR","L (-4)","1","34:23","7","16",".438","0","4",".000","11","13",".846","2","2","4","6","4","1","4","4","25","21.1","+2"
"3","3","2018-10-22","28-046","WAS","@","POR","W (+1)","1","41:16","5","19",".263","0","2",".000","6","11",".545","0","4","4","9","1","1","4","0","16","7.9","+2"
"4","4","2018-10-24","28-048","WAS","@","GSW","L (-22)","1","27:16","5","12",".417","1","5",".200","2","4",".500","0","2","2","6","0","0","4","3","13","5.4","-22"
"5","5","2018-10-26","28-050","WAS","@","SAC","L (-4)","1","36:35","9","20",".450","1","6",".167","7","8",".875","1","1","2","8","3","3","2","6","26","22.5","-6"
"6","6","2018-10-28","28-052","WAS","@","LAC","L (-32)","1","27:37","8","20",".400","0","2",".000","2","3",".667","1","2","3","5","4","0","1","0","18","14.6","-6"
"7","7","2018-10-30","28-054","WAS","@","MEM","L (-12)","1","34:23","9","15",".600","4","7",".571","0","0","","1","4","5","7","3","0","9","3","22","14.7","-14"
"8","8","2018-11-02","28-057","WAS","","OKC","L (-23)","1","33:54","8","13",".615","2","5",".400","1","2",".500","0","2","2","9","1","0","7","3","19","12.4","-16"
"9","9","2018-11-04","28-059","WAS","","NYK","W (+13)","1","37:53","9","16",".563","3","6",".500","5","7",".714","0","2","2","7","5","0","4","0","26","24.1","+24"
"10","10","2018-11-06","28-061","WAS","@","DAL","L (-19)","1","41:02","8","20",".400","2","6",".333","6","8",".750","1","3","4","10","3","1","2","3","24","21.5","-11"
"11","11","2018-11-09","28-064","WAS","@","ORL","L (-9)","1","42:20","9","21",".429","0","3",".000","1","2",".500","0","7","7","12","2","1","3","2","19","16.9","+3"
"12","12","2018-11-10","28-065","WAS","@","MIA","W (+6)","1","40:57","9","20",".450","3","5",".600","7","9",".778","0","2","2","9","1","1","2","3","28","22.2","+3"
"13","13","2018-11-12","28-067","WAS","","ORL","W (+8)","1","33:03","9","15",".600","2","3",".667","5","8",".625","0","4","4","10","1","1","2","1","25","24.4","-3"
"14","14","2018-11-14","28-069","WAS","","CLE","W (+24)","1","21:24","3","10",".300","1","2",".500","1","1","1.000","2","3","5","9","2","1","3","4","8","8.9","+4"
"15","15","2018-11-16","28-071","WAS","","BRK","L (-11)","1","37:55","6","19",".316","1","5",".200","3","4",".750","0","1","1","7","1","1","3","4","16","7.0","-11"
"16","16","2018-11-18","28-073","WAS","","POR","L (-10)","1","31:16","10","21",".476","3","6",".500","1","5",".200","1","2","3","3","0","3","1","0","24","16.2","-28"
"17","17","2018-11-20","28-075","WAS","","LAC","W (+7)","1","40:52","9","24",".375","5","12",".417","7","10",".700","0","4","4","8","2","2","1","2","30","24.0","+6"
"18","18","2018-11-23","28-078","WAS","@","TOR","L (-18)","1","32:00","5","13",".385","1","7",".143","0","0","","1","2","3","11","1","2","7","1","11","7.9","-10"
"19","19","2018-11-24","28-079","WAS","","NOP","W (+10)","1","34:28","8","16",".500","1","4",".250","5","10",".500","0","7","7","8","1","0","5","1","22","15.3","+13"
"20","20","2018-11-26","28-081","WAS","","HOU","W (+4)","1","40:08","13","24",".542","2","5",".400","8","11",".727","0","3","3","11","0","2","5","4","36","26.6","-8"
"21","21","2018-11-28","28-083","WAS","@","NOP","L (-21)","1","25:50","6","13",".462","1","6",".167","4","6",".667","1","4","5","7","0","0","4","4","17","10.7","-19"
"22","22","2018-11-30","28-085","WAS","@","PHI","L (-25)","1","25:23","4","15",".267","1","3",".333","2","2","1.000","1","2","3","7","3","0","2","2","11","8.5","-19"
"23","23","2018-12-01","28-086","WAS","","BRK","W (+14)","1","36:55","12","24",".500","3","6",".500","3","5",".600","0","5","5","9","1","0","2","1","30","23.6","+14"
"24","24","2018-12-03","28-088","WAS","@","NYK","W (+3)","1","37:03","7","20",".350","1","5",".200","3","4",".750","0","0","0","15","0","1","5","2","18","11.8","-5"
"26","25","2018-12-08","28-093","WAS","@","CLE","L (-15)","1","26:04","0","5",".000","0","3",".000","1","2",".500","0","4","4","6","0","0","1","0","1","1.5","-14"
