"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"10","1","2018-11-07","24-128","SAS","@","MIA","L (-7)","1","15:59","0","3",".000","0","0","","0","0","","0","1","1","3","1","0","2","1","0","-1.1","-9"
"11","2","2018-11-10","24-131","SAS","","HOU","W (+7)","1","29:43","4","9",".444","1","2",".500","5","6",".833","0","4","4","8","2","0","2","2","14","14.9","+20"
"12","3","2018-11-12","24-133","SAS","@","SAC","L (-5)","1","26:11","4","10",".400","1","3",".333","2","2","1.000","0","0","0","5","1","0","1","0","11","9.1","-15"
"13","4","2018-11-14","24-135","SAS","@","PHO","L (-20)","1","29:11","6","12",".500","1","5",".200","3","4",".750","1","3","4","3","0","0","5","0","16","8.3","-20"
"14","5","2018-11-15","24-136","SAS","@","LAC","L (-5)","1","16:35","0","5",".000","0","1",".000","0","0","","0","2","2","1","0","0","1","2","0","-4.0","-28"
"15","6","2018-11-18","24-139","SAS","","GSW","W (+12)","0","17:49","1","5",".200","0","2",".000","0","0","","0","1","1","1","1","0","0","2","2","0.1","-8"
"16","7","2018-11-19","24-140","SAS","@","NOP","L (-14)","0","13:03","1","4",".250","0","1",".000","0","0","","0","2","2","3","0","0","1","1","2","0.9","+7"
"17","8","2018-11-21","24-142","SAS","","MEM","L (-1)","0","10:18","0","0","","0","0","","0","0","","0","2","2","2","1","0","0","2","0","2.2","+5"
"18","9","2018-11-23","24-144","SAS","@","IND","W (+11)","0","7:20","0","0","","0","0","","1","2",".500","0","2","2","0","0","0","0","2","1","0.4","-5"
"19","10","2018-11-24","24-145","SAS","@","MIL","L (-6)","0","5:22","1","3",".333","0","0","","0","0","","0","1","1","2","0","0","0","1","2","1.6","+14"
"20","11","2018-11-26","24-147","SAS","@","CHI","W (+1)","0","23:53","3","8",".375","2","4",".500","0","0","","0","6","6","1","2","0","1","2","8","6.3","+6"
"21","12","2018-11-28","24-149","SAS","@","MIN","L (-39)","1","23:00","3","6",".500","0","0","","0","0","","0","2","2","4","0","0","2","1","6","4.0","-22"
"22","13","2018-11-30","24-151","SAS","","HOU","L (-31)","0","33:08","5","8",".625","1","3",".333","0","0","","1","4","5","9","0","0","2","1","11","13.2","-10"
"23","14","2018-12-02","24-153","SAS","","POR","W (+13)","0","32:52","4","7",".571","1","1","1.000","1","2",".500","1","4","5","6","0","0","1","5","10","9.4","+21"
"24","15","2018-12-04","24-155","SAS","@","UTA","L (-34)","0","21:20","5","11",".455","0","1",".000","0","0","","2","3","5","2","1","0","3","3","10","4.8","-7"
"25","16","2018-12-05","24-156","SAS","@","LAL","L (-8)","0","18:35","1","5",".200","0","3",".000","0","0","","0","4","4","5","0","0","1","2","2","1.8","+4"
"26","17","2018-12-07","24-158","SAS","","LAL","W (+13)","0","7:33","1","1","1.000","0","0","","0","0","","0","2","2","0","0","0","1","0","2","1.3","-9"
"27","18","2018-12-09","24-160","SAS","","UTA","W (+13)","1","30:14","3","6",".500","0","0","","0","0","","0","2","2","4","3","0","2","1","6","7.0","+7"
"28","19","2018-12-11","24-162","SAS","","PHO","W (+25)","1","27:04","1","8",".125","0","3",".000","2","2","1.000","0","3","3","7","3","0","1","1","4","6.2","+12"
"29","20","2018-12-13","24-164","SAS","","LAC","W (+38)","1","24:58","5","9",".556","1","2",".500","0","0","","0","4","4","2","1","0","2","0","11","8.3","+20"
"30","21","2018-12-15","24-166","SAS","","CHI","L (-5)","1","17:40","0","3",".000","0","1",".000","0","0","","0","0","0","1","1","0","1","1","0","-1.8","+5"
"31","22","2018-12-17","24-168","SAS","","PHI","W (+27)","0","17:20","4","9",".444","0","1",".000","0","0","","0","3","3","4","0","3","2","1","8","6.7","+7"
"32","23","2018-12-19","24-170","SAS","@","ORL","W (+39)","1","34:02","4","6",".667","1","2",".500","0","0","","0","1","1","6","0","1","3","1","9","8.2","+29"
"33","24","2018-12-21","24-172","SAS","","MIN","W (+26)","1","24:50","3","6",".500","0","3",".000","1","1","1.000","0","3","3","4","1","0","2","3","7","5.5","+15"
"34","25","2018-12-22","24-173","SAS","@","HOU","L (-7)","1","27:32","2","6",".333","1","2",".500","0","0","","1","4","5","5","1","3","3","3","5","5.9","+3"
"35","26","2018-12-26","24-177","SAS","","DEN","W (+8)","1","28:11","2","7",".286","1","3",".333","2","2","1.000","1","0","1","4","1","2","1","3","7","6.6","+3"
"36","27","2018-12-28","24-179","SAS","@","DEN","L (-3)","1","28:06","4","9",".444","1","4",".250","1","2",".500","3","3","6","3","6","0","1","3","10","13.8","+2"
"37","28","2018-12-29","24-180","SAS","@","LAC","W (+11)","1","29:27","4","6",".667","1","1","1.000","3","3","1.000","1","6","7","4","2","0","0","2","12","15.9","+26"
"38","29","2018-12-31","24-182","SAS","","BOS","W (+9)","1","28:45","8","9",".889","2","2","1.000","4","5",".800","0","3","3","3","1","2","1","2","22","22.1","+8"
"39","30","2019-01-03","24-185","SAS","","TOR","W (+18)","1","33:08","8","11",".727","2","3",".667","1","2",".500","0","0","0","4","1","0","0","2","19","17.1","+20"
"40","31","2019-01-05","24-187","SAS","","MEM","W (+20)","1","27:02","8","9",".889","1","1","1.000","2","2","1.000","1","3","4","0","1","1","2","3","19","16.0","-7"
"41","32","2019-01-07","24-189","SAS","@","DET","W (+12)","1","35:20","4","7",".571","0","1",".000","9","9","1.000","1","4","5","2","0","0","1","0","17","16.0","+6"
"42","33","2019-01-09","24-191","SAS","@","MEM","L (-10)","1","15:42","4","7",".571","1","2",".500","3","5",".600","0","2","2","2","0","0","3","5","12","4.9","-6"
