"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-20","22-205","POR","","SAS","W (+13)","0","3:02","0","2",".000","0","1",".000","0","0","","0","2","2","0","0","0","2","0","0","-2.8","-5"
"8","2","2018-11-01","22-217","POR","","NOP","W (+13)","0","1:51","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2"
"10","3","2018-11-04","22-220","POR","","MIN","W (+30)","0","9:53","0","2",".000","0","1",".000","0","0","","0","1","1","2","0","0","1","1","0","-1.1","-3"
"15","4","2018-11-16","22-232","POR","@","MIN","L (-16)","0","5:44","1","2",".500","0","1",".000","0","0","","1","0","1","1","0","0","0","0","2","2.4","+8"
"16","5","2018-11-18","22-234","POR","@","WAS","W (+10)","0","2:02","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","-4"
"17","6","2018-11-20","22-236","POR","@","NYK","W (+4)","0","6:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-6"
"18","7","2018-11-21","22-237","POR","@","MIL","L (-43)","0","12:00","2","7",".286","1","1","1.000","0","0","","0","1","1","3","0","0","1","0","5","2.3","-13"
"19","8","2018-11-23","22-239","POR","@","GSW","L (-28)","0","3:19","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.7","-5"
"25","9","2018-12-06","22-252","POR","","PHO","W (+22)","0","6:53","1","3",".333","0","1",".000","1","1","1.000","0","3","3","2","0","2","2","0","3","3.0","-9"
"32","10","2018-12-21","22-267","POR","","UTA","L (-30)","0","5:47","2","3",".667","0","1",".000","1","2",".500","0","0","0","0","0","0","1","1","5","1.9","-5"
"34","11","2018-12-25","22-271","POR","@","UTA","L (-21)","0","2:40","1","1","1.000","1","1","1.000","1","2",".500","0","0","0","0","0","0","0","1","4","2.9","-3"
"36","12","2018-12-29","22-275","POR","","GSW","L (-10)","0","1:49","0","0","","0","0","","2","2","1.000","0","0","0","0","0","0","0","1","2","1.6","+2"
"37","13","2018-12-30","22-276","POR","","PHI","W (+34)","0","10:14","1","4",".250","0","0","","3","4",".750","0","1","1","2","0","0","2","1","5","1.5","-7"
"50","14","2019-01-24","22-301","POR","@","PHO","W (+14)","0","6:38","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","-8"
"51","15","2019-01-26","22-303","POR","","ATL","W (+9)","0","8:25","0","2",".000","0","2",".000","0","0","","0","3","3","2","1","0","2","3","0","-1.3","-7"
"52","16","2019-01-30","22-307","POR","","UTA","W (+27)","0","6:40","2","4",".500","0","0","","0","0","","1","1","2","0","0","0","1","0","4","2.0","+1"
