"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"41","1","2019-01-07","24-332","UTA","@","MIL","L (-12)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"43","2","2019-01-11","24-336","UTA","","LAL","W (+18)","0","3:01","0","1",".000","0","1",".000","0","0","","1","0","1","0","0","0","0","0","0","0.0","-4"
"46","3","2019-01-16","24-341","UTA","@","LAC","W (+20)","0","2:30","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-3"
"47","4","2019-01-18","24-343","UTA","","CLE","W (+16)","0","2:40","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","0.3","-6"
"51","5","2019-01-27","24-352","UTA","@","MIN","W (+14)","0","0:45","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","0"
"52","6","2019-01-30","24-355","UTA","@","POR","L (-27)","0","4:02","0","0","","0","0","","2","2","1.000","0","1","1","0","0","0","1","0","2","1.3","+2"
"54","7","2019-02-02","24-358","UTA","","HOU","L (-27)","0","3:19","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-10"
"55","8","2019-02-06","24-362","UTA","","PHO","W (+28)","0","1:34","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"79","9","2019-04-05","25-055","UTA","","SAC","W (+21)","0","3:50","1","2",".500","1","2",".500","0","0","","0","1","1","0","0","0","0","0","3","2.3","-1"
"81","10","2019-04-09","25-059","UTA","","DEN","W (+10)","0","1:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-6"
"82","11","2019-04-10","25-060","UTA","@","LAC","L (-6)","0","15:35","0","2",".000","0","0","","0","0","","2","1","3","1","0","0","0","3","0","-0.2","-9"
