"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-041","ATL","@","NYK","L (-19)","0","20:43","4","8",".500","1","3",".333","0","1",".000","1","1","2","0","1","0","3","4","9","2.0","-21"
"2","2","2018-10-19","25-043","ATL","@","MEM","L (-14)","0","21:29","3","4",".750","1","1","1.000","1","4",".250","4","3","7","2","1","1","0","6","8","9.6","-2"
"3","3","2018-10-21","25-045","ATL","@","CLE","W (+22)","0","23:48","1","3",".333","0","1",".000","1","2",".500","1","4","5","4","0","0","1","3","3","3.4","+6"
"4","4","2018-10-24","25-048","ATL","","DAL","W (+7)","0","6:24","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","0","1","1","0.5","-11"
"8","5","2018-11-01","25-056","ATL","","SAC","L (-31)","0","16:56","3","6",".500","0","0","","3","4",".750","3","5","8","0","0","0","0","2","9","8.4","-6"
"9","6","2018-11-03","25-058","ATL","","MIA","W (+5)","0","9:45","2","3",".667","1","1","1.000","0","0","","1","2","3","1","0","0","0","2","5","4.9","-7"
"10","7","2018-11-06","25-061","ATL","@","CHO","L (-11)","0","17:23","3","5",".600","1","1","1.000","1","2",".500","2","3","5","0","0","2","1","0","8","8.0","-10"
"11","8","2018-11-07","25-062","ATL","","NYK","L (-5)","0","8:49","2","3",".667","0","0","","0","0","","1","0","1","0","0","0","2","3","4","0.2","-5"
"12","9","2018-11-09","25-064","ATL","","DET","L (-15)","0","10:55","1","3",".333","1","2",".500","0","0","","1","1","2","0","0","0","0","5","3","0.3","+6"
"13","10","2018-11-11","25-066","ATL","@","LAL","L (-1)","0","3:17","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-9"
"14","11","2018-11-13","25-068","ATL","@","GSW","L (-7)","0","20:36","2","5",".400","0","1",".000","0","0","","3","5","8","0","0","0","0","2","4","4.1","+4"
"15","12","2018-11-15","25-070","ATL","@","DEN","L (-45)","0","23:46","5","8",".625","0","3",".000","1","2",".500","3","1","4","4","1","0","1","2","11","11.4","-11"
"16","13","2018-11-17","25-072","ATL","@","IND","L (-8)","1","11:19","0","0","","0","0","","0","0","","0","3","3","0","0","2","0","1","0","1.9","+1"
"32","14","2018-12-23","25-108","ATL","@","DET","W (+3)","0","3:11","0","1",".000","0","0","","0","0","","1","0","1","0","0","1","0","0","0","0.7","-5"
"33","15","2018-12-26","25-111","ATL","","IND","L (-8)","0","2:11","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","-4"
"34","16","2018-12-28","25-113","ATL","@","MIN","W (+3)","0","22:39","4","8",".500","1","2",".500","3","4",".750","1","4","5","1","0","2","2","4","12","8.0","-5"
"35","17","2018-12-29","25-114","ATL","","CLE","W (+3)","0","15:48","5","7",".714","1","2",".500","0","0","","2","1","3","1","0","0","0","1","11","10.1","+8"
"36","18","2018-12-31","25-116","ATL","@","IND","L (-8)","0","4:29","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","-9"
"64","19","2019-03-03","25-178","ATL","@","CHI","W (+5)","0","26:07","2","6",".333","2","3",".667","3","4",".750","1","4","5","3","1","1","0","3","9","9.7","+1"
"65","20","2019-03-04","25-179","ATL","@","MIA","L (-1)","0","21:15","1","6",".167","0","1",".000","4","4","1.000","3","3","6","0","0","1","1","2","6","4.1","+16"
"66","21","2019-03-06","25-181","ATL","","SAS","L (-7)","0","14:04","2","4",".500","0","1",".000","0","0","","1","5","6","1","0","0","2","3","4","1.7","-12"
