"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-201","NYK","","ATL","W (+19)","0","27:26","0","3",".000","0","3",".000","2","2","1.000","0","4","4","4","1","0","2","4","2","1.3","+5"
"2","2","2018-10-19","25-203","NYK","@","BRK","L (-2)","0","18:04","0","3",".000","0","3",".000","1","2",".500","0","0","0","1","0","0","0","5","1","-2.8","-6"
"3","3","2018-10-20","25-204","NYK","","BOS","L (-2)","0","12:27","1","1","1.000","0","0","","0","0","","0","0","0","2","0","0","0","2","2","2.3","-2"
"4","4","2018-10-22","25-206","NYK","@","MIL","L (-11)","0","1:10","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-5"
"5","5","2018-10-24","25-208","NYK","@","MIA","L (-23)","0","17:43","0","2",".000","0","1",".000","0","0","","0","0","0","0","1","0","0","2","0","-1.2","-13"
"7","6","2018-10-29","25-213","NYK","","BRK","W (+19)","0","2:24","0","1",".000","0","0","","0","0","","0","0","0","0","1","0","0","0","0","0.3","+4"
"10","7","2018-11-04","25-219","NYK","@","WAS","L (-13)","0","2:10","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0"
"14","8","2018-11-11","25-226","NYK","","ORL","L (-26)","0","5:14","0","0","","0","0","","2","2","1.000","1","1","2","1","1","0","0","0","2","4.7","+7"
"15","9","2018-11-14","25-229","NYK","@","OKC","L (-25)","0","5:21","1","1","1.000","0","0","","0","0","","0","0","0","1","0","0","1","2","2","0.6","-1"
"23","10","2018-11-28","25-243","NYK","@","PHI","L (-26)","0","5:34","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.0","+4"
"28","11","2018-12-09","25-254","NYK","","CHO","L (-12)","0","9:00","2","3",".667","1","1","1.000","0","0","","0","1","1","3","1","0","0","1","5","6.7","+6"
"30","12","2018-12-22","25-267","WAS","","PHO","W (+3)","0","14:00","0","0","","0","0","","0","0","","0","2","2","1","0","1","0","2","0","1.2","-5"
"31","13","2018-12-23","25-268","WAS","@","IND","L (-16)","0","16:18","0","2",".000","0","2",".000","0","0","","0","1","1","0","1","0","1","0","0","-1.1","-5"
"33","14","2018-12-28","25-273","WAS","","CHI","L (-9)","0","12:56","0","2",".000","0","2",".000","0","0","","0","1","1","1","0","0","1","0","0","-1.4","-8"
"37","15","2019-01-06","25-282","WAS","@","OKC","W (+18)","0","2:11","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
