"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-096","UTA","@","SAC","W (+6)","0","26:07","4","9",".444","1","3",".333","4","7",".571","1","3","4","4","0","0","1","1","13","10.1","+22"
"2","2","2018-10-19","23-098","UTA","","GSW","L (-1)","0","18:12","4","5",".800","1","1","1.000","4","4","1.000","0","2","2","0","0","0","1","1","13","10.3","-4"
"3","3","2018-10-22","23-101","UTA","","MEM","L (-8)","0","13:31","2","11",".182","0","4",".000","0","0","","0","3","3","1","0","1","1","1","4","-2.0","-8"
"4","4","2018-10-24","23-103","UTA","@","HOU","W (+11)","0","14:42","3","6",".500","1","1","1.000","2","2","1.000","0","0","0","1","0","0","0","0","9","6.7","-4"
"5","5","2018-10-27","23-106","UTA","@","NOP","W (+21)","0","17:58","5","10",".500","0","2",".000","1","3",".333","0","0","0","2","0","0","2","2","11","3.8","-3"
"6","6","2018-10-28","23-107","UTA","@","DAL","W (+9)","0","16:07","1","5",".200","1","2",".500","3","4",".750","1","3","4","3","1","1","2","2","6","5.1","+13"
"7","7","2018-10-31","23-110","UTA","@","MIN","L (-3)","0","25:18","4","9",".444","1","3",".333","5","6",".833","2","2","4","3","1","0","0","3","14","12.8","0"
"8","8","2018-11-02","23-112","UTA","","MEM","L (-10)","0","19:07","1","6",".167","0","2",".000","1","2",".500","0","0","0","4","0","0","1","4","3","-1.0","-8"
"9","9","2018-11-03","23-113","UTA","@","DEN","L (-15)","0","17:39","1","3",".333","0","2",".000","4","4","1.000","0","1","1","1","0","0","0","1","6","4.9","+2"
"10","10","2018-11-05","23-115","UTA","","TOR","L (-13)","0","16:05","3","4",".750","1","1","1.000","0","0","","0","1","1","4","0","0","2","3","7","5.3","-2"
"11","11","2018-11-07","23-117","UTA","","DAL","W (+15)","0","11:22","2","3",".667","1","2",".500","4","4","1.000","1","0","1","2","0","1","0","4","9","8.9","+10"
"12","12","2018-11-09","23-119","UTA","","BOS","W (+8)","0","2:47","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","1","1","0","-1.8","-4"
"13","13","2018-11-12","23-122","UTA","@","MEM","W (+8)","0","20:31","3","7",".429","1","4",".250","2","4",".500","0","0","0","1","0","0","1","2","9","3.4","+2"
"14","14","2018-11-14","23-124","UTA","@","DAL","L (-50)","0","20:30","1","6",".167","0","2",".000","1","2",".500","0","1","1","2","1","0","0","2","3","0.7","-31"
"15","15","2018-11-16","23-126","UTA","@","PHI","L (-6)","0","18:18","3","7",".429","0","0","","1","2",".500","0","2","2","4","0","0","2","1","7","3.9","+2"
"16","16","2018-11-17","23-127","UTA","@","BOS","W (+12)","0","20:00","4","8",".500","1","2",".500","1","2",".500","1","6","7","3","0","0","2","1","10","7.8","-2"
"17","17","2018-11-19","23-129","UTA","@","IND","L (-27)","0","18:18","1","4",".250","0","0","","2","2","1.000","0","2","2","5","0","0","2","2","4","2.9","-21"
"18","18","2018-11-21","23-131","UTA","","SAC","L (-9)","0","14:15","1","4",".250","0","1",".000","2","2","1.000","0","1","1","0","0","0","1","1","4","0.5","-4"
"19","19","2018-11-23","23-133","UTA","@","LAL","L (-7)","0","18:43","1","4",".250","0","0","","0","0","","1","1","2","2","1","0","2","3","2","-0.2","+2"
"20","20","2018-11-25","23-135","UTA","@","SAC","W (+21)","0","20:03","2","5",".400","0","0","","0","0","","0","1","1","1","2","1","0","3","4","3.8","+7"
"21","21","2018-11-26","23-136","UTA","","IND","L (-33)","0","16:25","3","11",".273","1","4",".250","2","2","1.000","2","1","3","1","0","0","3","0","9","1.9","-9"
"22","22","2018-11-28","23-138","UTA","@","BRK","W (+10)","0","6:53","0","2",".000","0","0","","0","0","","0","0","0","1","1","0","3","1","0","-3.1","+6"
"24","23","2018-12-02","23-142","UTA","@","MIA","L (-2)","0","1:55","0","1",".000","0","1",".000","1","2",".500","0","0","0","0","0","0","0","1","1","-0.5","-4"
"25","24","2018-12-04","23-144","UTA","","SAS","W (+34)","0","10:58","3","4",".750","1","1","1.000","0","0","","0","1","1","2","0","0","0","1","7","6.7","+5"
