"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-27","21-287","DET","","BOS","L (-20)","0","7:31","2","5",".400","1","2",".500","2","2","1.000","0","3","3","0","0","0","0","1","7","4.8","+3",".595",".500","0.0","39.1","19.0","0.0","0.0","0.0","0.0","34.5","117","106"
"25","2","2018-12-10","21-331","DET","@","PHI","L (-14)","0","17:18","2","5",".400","1","2",".500","0","0","","0","6","6","1","0","0","0","1","5","4.4","-11",".500",".500","0.0","32.0","17.7","7.8","0.0","0.0","0.0","12.8","111","114"
"56","3","2019-02-24","22-042","NYK","","SAS","W (+12)","0","3:33","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0","128"
"57","4","2019-02-26","22-044","NYK","","ORL","W (+5)","0","36:16","5","11",".455","3","6",".500","0","0","","0","9","9","5","2","0","1","1","13","14.1","+18",".591",".591","0.0","24.3","12.2","21.1","2.7","0.0","8.3","14.0","125","103"
"58","5","2019-02-28","22-046","NYK","","CLE","L (-7)","0","26:50","4","10",".400","3","5",".600","2","2","1.000","0","5","5","0","1","0","0","5","13","8.1","-6",".597",".550","0.0","26.3","11.2","0.0","1.9","0.0","0.0","17.2","130","127"
"59","6","2019-03-03","22-049","NYK","@","LAC","L (-21)","0","14:47","1","5",".200","0","2",".000","3","4",".750","0","3","3","0","0","0","2","4","5","-1.2","-3",".370",".200","0.0","21.2","9.8","0.0","0.0","0.0","22.8","24.5","60","123"
"60","7","2019-03-04","22-050","NYK","@","SAC","L (-7)","0","16:46","2","6",".333","2","4",".500","0","0","","1","4","5","1","1","0","1","1","6","4.8","-12",".500",".500","6.1","26.0","15.7","8.6","2.8","0.0","14.3","17.5","99","110"
"61","8","2019-03-06","22-052","NYK","@","PHO","L (-11)","0","3:06","0","2",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-1.1","+2",".000",".000","0.0","36.9","20.1","0.0","0.0","0.0","0.0","28.4","0","113"
"62","9","2019-03-09","22-055","NYK","","SAC","L (-8)","0","4:28","0","2",".000","0","1",".000","0","0","","1","1","2","0","1","0","0","1","0","0.2","-6",".000",".000","19.5","19.2","19.4","0.0","11.0","0.0","0.0","19.1","32","81"
"65","10","2019-03-15","22-061","NYK","@","SAS","L (-26)","0","4:05","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","2","0","0","-2.4","-7",".000",".000","0.0","30.9","13.7","0.0","0.0","0.0","66.7","33.3","0","118"
"67","11","2019-03-18","22-064","NYK","@","TOR","L (-36)","0","12:00","3","6",".500","0","2",".000","3","4",".750","1","2","3","1","1","0","1","0","9","7.6","-4",".580",".500","7.7","23.5","14.0","25.0","3.9","0.0","11.4","31.3","109","120"
"68","12","2019-03-20","22-066","NYK","","UTA","L (-21)","0","18:17","3","6",".500","1","2",".500","0","1",".000","1","8","9","5","0","0","0","1","7","9.8","+12",".543",".583","6.4","53.9","29.5","35.4","0.0","0.0","0.0","15.5","141","139"
"69","13","2019-03-22","22-068","NYK","","DEN","L (-18)","0","3:11","1","3",".333","0","1",".000","1","1","1.000","0","0","0","0","0","0","0","0","3","1.3","+2",".436",".333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","48.8","89","128"
"71","14","2019-03-28","22-074","NYK","","TOR","L (-25)","0","8:51","1","4",".250","0","1",".000","1","1","1.000","0","0","0","1","1","0","0","0","3","2.3","+4",".338",".250","0.0","0.0","0.0","21.2","5.5","0.0","0.0","20.9","86","112"
"74","15","2019-04-03","22-080","NYK","@","ORL","L (-14)","0","6:07","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","0","129"
"75","16","2019-04-05","22-082","NYK","@","HOU","L (-24)","0","22:43","6","8",".750","1","1","1.000","3","4",".750","0","7","7","0","0","0","2","3","16","11.3","-3",".820",".813","0.0","26.9","14.6","0.0","0.0","0.0","17.0","22.8","123","116"
"76","17","2019-04-07","22-084","NYK","","WAS","W (+3)","0","18:13","3","4",".750","2","2","1.000","2","2","1.000","1","2","3","2","0","0","0","3","10","9.9","+4","1.025","1.000","7.3","9.2","8.5","15.9","0.0","0.0","0.0","12.4","211","122"
"77","18","2019-04-09","22-086","NYK","@","CHI","W (+10)","0","14:29","2","7",".286","1","3",".333","0","1",".000","0","5","5","0","0","0","0","1","5","1.6","-1",".336",".357","0.0","29.6","14.9","0.0","0.0","0.0","0.0","22.9","70","91"
"78","19","2019-04-10","22-087","NYK","","DET","L (-26)","0","20:36","4","8",".500","2","3",".667","2","3",".667","0","4","4","0","0","2","0","4","12","8.6","+1",".644",".625","0.0","23.3","10.5","0.0","0.0","9.0","0.0","21.9","116","120"
