"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"4","1","2018-10-24","38-137","MIA","","NYK","W (+23)","0","3:53","0","2",".000","0","2",".000","0","0","","0","1","1","0","0","0","2","1","0","-3.5","-7",".000",".000","0.0","21.7","12.9","0.0","0.0","0.0","50.0","46.1","0","89"
"14","2","2018-11-14","38-158","MIA","@","BRK","W (+13)","0","2:10","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","1","2","0.6","+1",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.8","94","109"
"25","3","2018-12-08","38-182","MIA","@","LAC","W (+23)","0","8:15","1","2",".500","0","0","","0","0","","1","3","4","0","0","0","0","1","2","2.2","+2",".500",".500","11.6","31.2","22.0","0.0","0.0","0.0","0.0","9.7","124","93"
"53","4","2019-02-08","38-244","MIA","@","SAC","L (-6)","0","0:29","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","0","","","0.0","100.0","100.0","0.0","0.0","0.0","","0.0","0","52"
"60","5","2019-02-27","38-263","MIA","","GSW","W (+1)","0","5:35","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","0","0","-0.1","+1",".000",".000","0.0","39.1","20.2","0.0","0.0","0.0","0.0","7.9","0","128"
"62","6","2019-03-02","38-266","MIA","","BRK","W (+29)","0","3:46","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-1","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","99"
"63","7","2019-03-04","38-268","MIA","","ATL","W (+1)","0","4:06","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-7","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","129"
"67","8","2019-03-13","38-277","MIA","","DET","W (+34)","0","6:30","1","2",".500","0","1",".000","0","0","","0","4","4","0","0","0","0","0","2","2.2","+2",".500",".500","0.0","61.5","33.6","0.0","0.0","0.0","0.0","14.0","108","72"
"81","9","2019-04-09","38-304","MIA","","PHI","W (+23)","0","10:03","2","7",".286","0","2",".000","3","4",".750","0","4","4","0","0","0","1","3","7","1.5","-14",".400",".286","0.0","39.8","21.2","0.0","0.0","0.0","10.2","42.0","75","94"
"82","10","2019-04-10","38-305","MIA","@","BRK","L (-19)","1","29:41","6","17",".353","0","6",".000","0","0","","2","9","11","2","0","0","0","2","12","7.2","-9",".353",".353","5.8","22.1","14.6","11.4","0.0","0.0","0.0","23.2","80","106"
