"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"10","1","2018-11-04","19-290","POR","","MIN","W (+30)","0","7:00","1","4",".250","0","1",".000","0","0","","0","2","2","0","0","0","1","0","2","-0.8","-2",".250",".250","0.0","22.1","13.2","0.0","0.0","0.0","20.0","29.5","49","84"
"15","2","2018-11-16","19-302","POR","@","MIN","L (-16)","0","5:44","3","5",".600","2","2","1.000","0","0","","0","1","1","0","0","0","0","0","8","6.0","+8",".800",".800","0.0","18.2","9.2","0.0","0.0","0.0","0.0","36.5","145","115"
"25","3","2018-12-06","19-322","POR","","PHO","W (+22)","0","6:53","0","4",".000","0","2",".000","0","2",".000","0","1","1","0","0","0","0","1","0","-3.7","-9",".000",".000","0.0","12.9","7.2","0.0","0.0","0.0","0.0","29.9","0","93"
"42","4","2019-01-09","19-356","POR","","CHI","W (+12)","0","3:01","0","0","","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","0.6","-4",".568","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.9","124","120"
"43","5","2019-01-11","19-358","POR","","CHO","W (+31)","0","6:55","1","4",".250","1","3",".333","0","0","","0","0","0","1","0","1","0","0","3","2.0","0",".375",".375","0.0","0.0","0.0","15.4","0.0","11.6","0.0","26.2","90","103"
"46","6","2019-01-16","19-363","POR","","CLE","W (+17)","0","2:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","128"
"47","7","2019-01-18","20-000","POR","","NOP","W (+16)","0","1:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","120"
"54","8","2019-02-07","20-020","POR","","SAS","W (+9)","0","1:23","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-6",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.5","0","125"
"59","9","2019-02-23","20-036","POR","@","PHI","W (+15)","0","3:48","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-5",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.3","0","123"
"67","10","2019-03-12","20-053","POR","@","LAC","W (+21)","0","2:31","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","+2",".500",".500","0.0","33.5","18.9","0.0","0.0","0.0","0.0","31.9","111","100"
"71","11","2019-03-20","20-061","POR","","DAL","W (+8)","0","6:44","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-1.8","-1",".000",".000","0.0","17.0","8.6","0.0","0.0","0.0","50.0","12.3","0","121"
"74","12","2019-03-27","20-068","POR","@","CHI","W (+20)","0","3:56","2","4",".500","1","3",".333","0","0","","0","1","1","0","0","0","0","1","5","2.9","-1",".625",".625","0.0","23.5","13.7","0.0","0.0","0.0","0.0","47.9","116","106"
"75","13","2019-03-29","20-070","POR","@","ATL","W (+20)","0","3:41","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-1.1","+6",".000",".000","0.0","24.6","13.6","0.0","0.0","0.0","0.0","22.7","0","99"
"78","14","2019-04-03","20-075","POR","","MEM","W (+27)","0","7:26","0","3",".000","0","2",".000","0","0","","1","0","1","1","0","0","1","0","0","-1.7","+3",".000",".000","15.4","0.0","7.5","13.5","0.0","0.0","25.0","22.6","36","101"
"82","15","2019-04-10","20-082","POR","","SAC","W (+5)","1","48:00","8","19",".421","1","5",".200","2","3",".667","0","2","2","3","1","1","1","1","19","11.5","+5",".468",".447","0.0","4.8","2.5","6.7","1.0","1.9","4.7","18.9","113","136"
